iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
1600,7,7,20311.97,8709,289397,8709
1600,7,8,20265.77,8729,280777,8729
1600,7,9,21953.77,9580,279377,9580
1600,8,0,20306.0,8673,296000,8673
1600,8,1,20705.38,8954,279738,8954
1600,8,2,20457.53,8827,280353,8827
1600,8,3,21504.43,9353,279843,9353
1600,8,4,20327.260000000002,8808,271126,8808
1600,8,5,20700.6,8934,283260,8934
1600,8,6,21125.86,9182,276186,9182
1600,8,7,19901.89,8586,272989,8586
1600,8,8,20276.16,8714,284816,8714
1600,8,9,20284.18,8714,285618,8714
1600,9,0,20116.04,8738,264004,8738
1600,9,1,18265.87,7852,256187,7852
1600,9,2,19999.77,8660,267977,8660
1600,9,3,18946.440000000002,8046,285444,8046
1600,9,4,18623.190000000002,8055,251319,8055
1600,9,5,18083.84,7743,259784,7743
1600,9,6,19465.03,8396,267303,8396
1600,9,7,20065.32,8687,269132,8687
1600,9,8,18858.760000000002,8189,248076,8189
1600,9,9,19840.95,8606,262895,8606
